Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated,Population_2021,Population_2021_log,Population_log
1,thane,maharashtra,11060148,1.2055454223542525,886,84.53,239590362.5,75516886.69174801,18.139866854001376,16.218858935524086
2,north twenty four parganas,west bengal,10009781,1.2027818695077097,955,84.06,31200070.64,62140646.68264032,17.944910868740816,16.119073272930194
3,bangalore,karnataka,9621551,1.2068332356748983,916,87.67,458915865.4,68644502.81823349,18.0444516114911,16.079516036257502
4,pune,maharashtra,9429408,1.2048951746256544,915,86.15,133739927.3,62963808.15011003,17.958070645474727,16.05934387427208
5,mumbai suburban,maharashtra,9356962,1.2023495239434823,860,89.91,20750014.42,57222987.4816104,17.862466254667403,16.0516312231191
6,south twenty four parganas,west bengal,8161961,1.203488610390034,956,77.51,43337800.95,51923918.51067056,17.765290099597568,15.914995016695844
7,barddhaman,west bengal,7717563,1.2027680344496547,945,76.21,23798917.21,47887601.78274897,17.684367193444256,15.859009198590439
8,ahmadabad,gujarat,7214225,1.2041642223917335,904,85.31,62152287.89,46976771.188015126,17.66516380746018,15.791565329313277
9,murshidabad,west bengal,7103807,1.2038252634693791,958,66.59,48147522.6,45720519.55822892,17.638057760742083,15.7761413954923
10,jaipur,rajasthan,6626178,1.2044132534367287,910,75.51,67844165.01,43518993.05870527,17.588708022806447,15.706538725350756
11,nashik,maharashtra,6107187,1.2039647669714366,934,82.31,45719954.39,39495741.66550742,17.49170341812335,15.624976832335783
12,surat,gujarat,6081322,1.2062636924516226,787,85.53,206165236.1,42553539.43411742,17.56627359246463,15.620732664517485
13,allahabad,uttar pradesh,5954391,1.2037722290801673,901,72.32,38849964.63,38252762.519528866,17.459726338361662,15.599639488539392
14,paschim medinipur,west bengal,5913457,1.2029917012215485,966,78.0,21654753.17,36978558.87907169,17.4258488128846,15.59274115914945
15,patna,bihar,5838465,1.2041296347465953,897,70.68,49096305.24,37972993.36963074,17.452385764223934,15.57997847778952
16,hugli,west bengal,5519145,1.2024844157595214,961,81.8,13627815.4,33911090.90271099,17.3392526841155,15.523733514952033
17,rangareddy,andhra pradesh,5296741,1.20694622198235,961,75.87,269971817.8,37934792.71186982,17.451379262441765,15.482602283729952
18,nadia,west bengal,5167600,1.202802622094793,947,74.97,16367846.11,32103507.812512137,17.28447585977823,15.457918922068282
19,east godavari,andhra pradesh,5154296,1.2019886595125404,1006,70.99,8524621.987,31128368.605288383,17.253630135175246,15.455341099666803
20,purbi champaran,bihar,5099371,1.2047868000042212,902,55.79,67276923.21,33924036.470171675,17.33963436151832,15.44462775675504
21,purba medinipur,west bengal,5095875,1.2031646394472395,938,87.02,21270183.67,32057314.232866626,17.28303592848825,15.443941946890908
22,guntur,andhra pradesh,4887813,1.202485568681026,1003,67.4,12079967.42,30033221.60057127,17.21781471361179,15.402255522145943
23,haora,west bengal,4850029,1.2029501960473825,939,83.31,17206912.52,30285070.95272383,17.226165441228314,15.394495242277232
24,muzaffarpur,bihar,4801062,1.204638073130127,900,63.43,57303943.63,31776763.451927748,17.274245871593543,15.384347701405948
25,belgaum,karnataka,4779661,1.202939819753841,973,73.48,16823277.15,29834946.691068027,17.21119097214497,15.379880181450568
26,moradabad,uttar pradesh,4772006,1.2043014200507818,906,56.77,45231186.01,31220919.813005775,17.256598934917548,15.378277319533604
27,ghaziabad,uttar pradesh,4681645,1.2062671512161365,881,78.07,159049311.7,32763281.072991565,17.304818966787202,15.359160101860175
28,nagpur,maharashtra,4653570,1.2030539589827973,951,88.39,17866788.47,29162917.932037417,17.188408526354866,15.35314522493594
29,chennai,tamil nadu,4646732,1.2021984912263788,989,90.18,9123753.87,28268580.98699515,17.15726153339741,15.351674734787947
30,azamgarh,uttar pradesh,4613913,1.2033664007105456,1019,70.93,22387686.2,29228611.99600269,17.190658650363055,15.34458686188137
31,lucknow,uttar pradesh,4589838,1.204370595341058,917,77.29,45634591.34,30100644.83424669,17.220057152554308,15.339355287296229
32,kanpur nagar,uttar pradesh,4581268,1.2025374501487334,862,79.65,11796492.49,28200389.27164328,17.15484633977205,15.337486373668042
33,ahmadnagar,maharashtra,4543159,1.2028279863678943,939,79.05,14674601.14,28249015.895551007,17.156569179394236,15.329133143028498
34,krishna,andhra pradesh,4517398,1.2023011012402889,992,73.74,9635963.418,27579947.55704543,17.132599528842686,15.323446722333625
35,kolkata,west bengal,4496694,1.2012012141248938,908,86.31,3799738.65,26421523.040858485,17.08968950266635,15.318853018074078
36,jaunpur,uttar pradesh,4494204,1.203110452136523,1024,71.55,18008397.83,28219334.511016686,17.155517921935708,15.318299124555619
37,madhubani,bihar,4487379,1.2043348547744153,926,58.62,43528735.08,29392541.641875498,17.19625151447477,15.316779347626841
38,sitapur,uttar pradesh,4483992,1.2041469285691646,888,61.12,38166013.18,29180965.427587856,17.189027185761365,15.316024279051275
39,bareilly,uttar pradesh,4448359,1.204037401026227,887,58.49,35057314.56,28840051.088251024,17.177275641816728,15.308045822087298
40,gorakhpur,uttar pradesh,4440895,1.2034471052158682,950,70.83,22871363.95,28211140.833771657,17.155227522918064,15.306366490671156
41,agra,uttar pradesh,4418797,1.2039359439338213,868,71.58,32410213.21,28548388.41950429,17.167111044819976,15.301378045062673
42,gaya,bihar,4391418,1.204440923552839,937,63.67,45825388.66,28869138.96637979,17.178283726683787,15.29516273972959
43,solapur,maharashtra,4317756,1.2027957045657653,938,77.02,13603106.64,26817455.171320654,17.10456354583195,15.278246380817846
44,visakhapatnam,andhra pradesh,4290589,1.202772646135673,1006,66.91,13278402.01,26627429.93210734,17.097452442885135,15.271934577517257
45,samastipur,bihar,4261566,1.2043371606174247,911,61.86,41404210.43,27915670.752802182,17.144698764838502,15.265147256328959
46,jalgaon,maharashtra,4229917,1.203106993372009,925,78.2,16905186.45,26556683.787502315,17.094792017378918,15.257692929080543
47,chittoor,andhra pradesh,4174064,1.202711541295929,997,71.53,12319140.51,25849452.89619704,17.067799994137566,15.24440069951563
48,vadodara,gujarat,4165626,1.203051653139788,934,78.92,15965451.23,26102994.47248053,17.077560596458234,15.242377122409197
49,muzaffarnagar,uttar pradesh,4143512,1.2033468010449675,889,69.12,19815247.26,26230896.6172609,17.082448534150977,15.237054295369369
50,malappuram,kerala,4112920,1.2029444314398596,1098,93.57,14527646.52,25677208.468996942,17.06111432639896,15.229643796500664
51,hardoi,uttar pradesh,4092845,1.2037503235715796,868,64.57,26286500.11,26273777.092876587,17.08408193103241,15.224750885224122
52,anantapur,andhra pradesh,4081148,1.2027887870367375,977,63.57,12789055.45,25341812.657214247,17.047966263732743,15.221888879351532
53,raipur,chhattisgarh,4063872,1.205394389637149,984,75.56,79912731.9,27604394.42250155,17.133485536220082,15.217646771681451
54,kurnool,andhra pradesh,4053463,1.2031058404505046,988,59.97,16185875.98,25447837.333716672,17.052141320285873,15.215082135454091
55,mahbubnagar,andhra pradesh,4053028,1.2031623336042303,977,55.04,16888033.23,25494900.518282816,17.05398901045487,15.21497481404945
56,kheri,uttar pradesh,4021243,1.2043198667948554,894,60.56,38604948.1,26325748.31786722,17.086058041710107,15.207101616781605
57,kancheepuram,tamil nadu,3998252,1.2058843812766071,986,84.49,107264416.4,27617588.921690404,17.13396340748225,15.201367823571838
58,maldah,west bengal,3988845,1.203840251448939,944,61.73,27326874.19,25685715.852142878,17.061445591930905,15.199012273276242
59,saran,bihar,3951862,1.2038886741521326,954,65.96,28026307.66,25490098.54731062,17.053800642461365,15.189697418211871
60,hyderabad,telangana,3943323,1.2017361697030315,954,83.25,5284081.158,23606489.57438553,16.977032214160715,15.18753432682656
61,darbhanga,bihar,3937385,1.2036384901856327,911,56.56,23323650.2,25178439.114637192,17.04149859556603,15.186027355340306
62,west godavari,andhra pradesh,3936966,1.2017984274642806,1004,74.63,5558847.374,23619601.44032388,16.977587494769107,15.185920933871312
63,vellore,tamil nadu,3936331,1.2029156084022443,1007,79.17,13600531.45,24550228.78334929,17.016231731238747,15.185759629146906
64,pashchim champaran,bihar,3935042,1.2047706591031566,909,55.7,51356891.2,26163725.534152392,17.07988448779848,15.185432113220136
65,kolhapur,maharashtra,3876001,1.2025478264422746,957,81.51,10062491.52,23867650.80544436,16.988034577277617,15.170314509990696
66,jalpaiguri,west bengal,3872846,1.2029928541430528,953,73.25,14194609.01,24218994.361032765,17.002647774212864,15.169500195248299
67,rajkot,gujarat,3804558,1.2037019008683862,927,80.96,23596111.17,24382358.619676255,17.00937042137722,15.15171037958699
68,sultanpur,uttar pradesh,3797117,1.2034816928610064,983,69.27,20059526.36,24150333.48056727,16.999808746686657,15.149752652539572
69,karimnagar,telangana,3776269,1.2023333830424179,1008,64.15,8266623.554,23081024.239955977,16.954521376433892,15.144247043116902
70,thiruvallur,tamil nadu,3728104,1.2054670236919391,987,84.03,76811958.25,25386688.070747204,17.04973550290184,15.131410351394212
71,aurangabad,maharashtra,3701282,1.204594262112952,923,79.02,42884584.48,24460802.087646205,17.012582479494583,15.124189804088358
