Indian State,Population aged 0-5 years,Severe Pneumonia Incidence*,Severe Pneumonia Episodes (Thousands),Pneumonia Deaths (Thousands),Pneumococcal Pneumonia Episodes (Thousands),Pneumococcal Pneumonia Deaths (Thousands)
delhi,1381200,8.0 (7.3-8.7),1 1 .0 (10.1-12.0),0.6 (0.6-0.7),1.7 (1.5-2.0),0.2 (0.2-0.2)
haryana,2362519,28.0 (25.7-30.5),66.2 (60.7-70.2),4.8 (4.2-5.5),10.4 (9.1-1 1 .9),1.4 (1 .2-1 .6)
himachal pradesh,544984,18.6 (17.1-20.3),10.1 (9.3-1 1 .1),0.7 (0.6-0.8),1.6 (1 .4-1 .8),0.2 (0.2-0.2)
jammu & kashmir,1414884,17.2 (15.8-18.8),24.4 (22.4-26.6),2.0 (1 .7-2.3),3.8 (3.4-4.4),0.6 (0.5-0.7)
punjab,2133529,21.9 (20.1-23.9),46.8 (42.9-51 .0),2.1 (1.8-2.4),7.4 (6.5-8.4),0.6 (0.5-0.7)
rajasthan,7302170,38.1 (35.0-41 .6),278.3 (255.3-303.4),40.3 (35.2-46.1),43.9 (38.5-50.1),1 1 .9 (10.4-13.6)
uttarakhand,924864,28.1 (25.8-30.6),26.0 (23.8-28.3),2.9 (2.5-3.3),4.1 (3.6-4.7),0.9 (0.7-1 .0)
chhattisgarh,2541065,28.2 (25.8-30.7),71 .6 (65.7-78.1),7.1 (6.2-8.1),11.3 (9.9-12.9),2.1 (1 .8-2.4)
madhya pradesh,7471286,44.3 (40.7-48.3),331 .2 (303.7-361 .1),44.2 (38.7-50.5),52.2 (45.8-59.6),13.4 (1 1 .4-14.9)
uttar pradesh,20376668,41 .4 (38.0-45.2),844.0 (774.1-920.2),94.2 (82.4-107.7),133.2 (1 16.7-151 .9),27.8 (24.4-31 .7)
bihar,12765029,45.5 (41 .7-49.6),580.4 (532.3-632.8),78.6 (68.8-89.9),91.6 (80.3-104.5),23.2 (20.3-26.5)
jharkhand,3648297,50.3 (46.2-54.9),183.6 (168.4-200.2),21 .3 (18.7-24.4),29.0 (25.4-33.1),6.3 (5.5-7.2)
orissa,3653029,36.4 (33.4-39.7),133.0 (122.0-145.0),1 1 .6 (10.1-13.2),21.0 (18.4-23.9),3.4 (3.0-3.9)
west bengal,7333143,27.8 (25.5-30.3),203.7 (186.8-222.1),9.9 (8.6-11.3),32.1 (28.2-36.7),2.9 (2.6-3.3)
arunachal pradesh,142879,14.5 (13.3-15.8),2.1 (1 .9-2.3),0.1 (0.1-0.1),0.3 (0.3-0.4),0.0 (0.0-0.0)
assam,3212833,27.3 (25.0-29.7),87.6 (80.3-95.5),7.6 (6.6-8.6),13.8 12.1-15.8,2.2 (2.0-2.5)
manipur,232029,26.7 (24.5-29.1),6.2 (5.7-6.8),0.3 (0.3-0.3),1.0 (0.9-1 .1),0.1 (0.1-0.1)
meghalaya,406154,25.2 (23.1-27.5),10.2 (9.4-1 1.2),0.5 (0.4-0.6),1.6 (1 .4-1 8),0.1 (0.1-0.2)
mizoram,121233,7.2 (6.6-7.8),0.9 (0.8-0.9),0.0 (0.0-0.0),0.1 (0.1-0.2),0.0 (0.0-0.0)
nagaland,197262,33.1 (30.3-36.1),6.5 (6.0-7.1),0.3 (0.3-0.4),1 .0 (0.9-1 .2),0.1 (0.1-0.1)
sikkim,42336,9.6 (8.8-10.5),0.4 (0.4 0.4),0.0 (0.0-0.0),0.1 (0.1-0.1),0.0 (0.0-0.0)
tripura,322566,28.8 (26.4-31 .4),9.3 (8.5-10.1),0.5 (0.4-0.5),1 .5 (1 .3-1 .7),0.1 (0.1-0.2)
goa,101203,11.9 (10.9-13.0),1.2 (1 .1-1 .3),0.1 (0.1-0.1),0.2 (0.2-0.2),0.0 (0.0-0.0)
gujarat,5460332,26.4 (24.2-28.8),144.1 (132.2-157.1),8.7 (7.6-10.0),22.7 (19.9-25.9),2.6 (2.3-2.9)
maharashtra,9362026,16.2 (14.9-17.7),152.0 (139.4-165.8),6.7 (5.7-7.6),24.0 (21 .0-27.4),2.0 (1 .7-2.2)
andhra pradesh,6284765,23.2 (21.3-25.3),145.9 (133.9-159.1),5.5 (4.8-6.3),23.0 (20.2-26.3),1.6 (1 .4-1 9)
karnataka,5046719,19.5 (17.8-21 .2),98.2 (90.1-107.1),4.7 (4.1-5.4),15.5 (13.6-17.7),1.4 (1 .2-1 .6)
kerala,2453092,11.5 (10.5-12.5),28.2 (25.9-30.7),0.2 (0.1-0.2),4.4 (3.9-5.1),0.0 (0.0-0.1)
tamil nadu,5278701,13.8 (12.7-15.1),73.0 (66.8-79.5),1 .0 (0.8-1 .1),11.5 (10.1-13.1),0.3 (0.3-0.3)
all india,112516797,30.7 (28.1-33.5),3576.0 (3279.8-3898.9),356.3 (31 1 .6-407.4),564.2 (494.5-643.8),105.1 (92.1-120.0)
